,total,male,male_less than high school diploma,male_high_school,male_some_college,male_bachelor_or_more,female,female_less than high school diploma,female_high_school,female_some_college,female_bachelor_or_more
"Census Tract 2308, Cook County, Illinois",59,26,1,0,3,22,33,0,0,14,19
"Census Tract 2309, Cook County, Illinois",589,294,12,10,102,170,295,0,15,68,212
"Census Tract 2311, Cook County, Illinois",67,35,3,19,12,1,32,0,28,0,4
"Census Tract 2312, Cook County, Illinois",60,39,0,0,0,39,21,4,1,14,2
"Census Tract 2315, Cook County, Illinois",105,42,15,0,8,19,63,10,32,8,13
"Census Tract 2402, Cook County, Illinois",915,477,0,34,61,382,438,3,48,38,349
"Census Tract 2403, Cook County, Illinois",892,480,8,4,47,421,412,4,24,64,320
"Census Tract 2405, Cook County, Illinois","1,385",741,0,0,15,726,644,0,0,47,597
"Census Tract 2406, Cook County, Illinois",639,288,0,5,11,272,351,3,6,5,337
"Census Tract 2407, Cook County, Illinois",470,209,0,15,2,192,261,6,20,19,216
"Census Tract 2408, Cook County, Illinois",345,193,9,19,47,118,152,9,23,16,104
"Census Tract 2409, Cook County, Illinois",242,100,5,0,24,71,142,18,27,16,81
"Census Tract 2410, Cook County, Illinois",358,184,0,3,30,151,174,0,2,22,150
"Census Tract 2411, Cook County, Illinois","1,419",839,26,54,236,523,580,8,45,78,449
"Census Tract 2412, Cook County, Illinois",746,376,61,0,66,249,370,1,1,64,304
"Census Tract 2413, Cook County, Illinois","1,037",510,6,49,28,427,527,11,57,45,414
"Census Tract 2414, Cook County, Illinois","2,680","1,452",24,23,147,"1,258","1,228",25,0,40,"1,163"
"Census Tract 2415, Cook County, Illinois","1,746","1,027",0,44,130,853,719,21,26,64,608
"Census Tract 2416, Cook County, Illinois","1,849",994,11,30,60,893,855,0,31,79,745
"Census Tract 2420, Cook County, Illinois","1,804",939,11,145,58,725,865,89,72,70,634
